latitude,longitude,"('town', 'country')"
-20.309999465942383,57.369998931884766,"(None, 'Mauritius')"
-0.4399999976158142,-0.33000001311302185,"('Undefined', 'Undefined')"
-0.23999999463558197,0.3700000047683716,"('Undefined', 'Undefined')"
0.1599999964237213,0.07000000029802322,"('Undefined', 'Undefined')"
0.1899999976158142,0.25,"('Undefined', 'Undefined')"
0.38999998569488525,0.05000000074505806,"('Undefined', 'Undefined')"
0.5,0.5799999833106995,"('Undefined', 'Undefined')"
0.6100000143051147,0.5199999809265137,"('Undefined', 'Undefined')"
0.7200000286102295,0.9399999976158142,"('Undefined', 'Undefined')"
0.8600000143051147,1.4199999570846558,"('Undefined', 'Undefined')"
1.0,0.6899999976158142,"('Undefined', 'Undefined')"
1.0,1.0,"('Undefined', 'Undefined')"
1.0099999904632568,0.6000000238418579,"('Undefined', 'Undefined')"
1.0299999713897705,0.75,"('Undefined', 'Undefined')"
1.059999942779541,0.5699999928474426,"('Undefined', 'Undefined')"
1.090000033378601,1.4299999475479126,"('Undefined', 'Undefined')"
1.2100000381469727,1.440000057220459,"('Undefined', 'Undefined')"
1.3300000429153442,103.58999633789062,"(None, 'Malaysia')"
1.3700000047683716,1.059999942779541,"('Undefined', 'Undefined')"
1.399999976158142,1.1399999856948853,"('Undefined', 'Undefined')"
1.4600000381469727,0.6499999761581421,"('Undefined', 'Undefined')"
1.4600000381469727,0.7699999809265137,"('Undefined', 'Undefined')"
7.869999885559082,80.6500015258789,"(None, 'Sri Lanka')"
12.960000038146973,77.63999938964844,"(None, 'India')"
12.960000038146973,77.6500015258789,"(None, 'India')"
16.81999969482422,96.16999816894531,"(None, 'Myanmar (Burma)')"
18.209999084472656,109.52999877929688,"(None, 'China')"
18.219999313354492,109.5,"(None, 'China')"
18.229999542236328,109.5199966430664,"(None, 'China')"
18.229999542236328,109.62999725341797,"(None, 'China')"
18.25,109.51000213623047,"(None, 'China')"
18.25,109.5199966430664,"(None, 'China')"
18.260000228881836,109.48999786376953,"(None, 'China')"
18.260000228881836,109.5199966430664,"(None, 'China')"
18.299999237060547,109.41000366210938,"(None, 'China')"
18.299999237060547,109.5,"(None, 'China')"
18.309999465942383,109.41000366210938,"(None, 'China')"
18.510000228881836,110.0199966430664,"(None, 'China')"
18.75,110.22000122070312,"(None, 'China')"
18.780000686645508,98.95999908447266,"(None, 'Thailand')"
18.780000686645508,109.5199966430664,"(None, 'China')"
18.790000915527344,109.51000213623047,"(None, 'China')"
19.260000228881836,110.47000122070312,"(None, 'China')"
19.40999984741211,110.44999694824219,"(None, 'China')"
19.530000686645508,110.68000030517578,"(None, 'China')"
19.739999771118164,110.0,"(None, 'China')"
19.81999969482422,-155.99000549316406,"(None, 'United States')"
19.829999923706055,109.91999816894531,"(None, 'China')"
19.84000015258789,109.93000030517578,"(None, 'China')"
19.989999771118164,110.29000091552734,"(None, 'China')"
20.0,110.30000305175781,"(None, 'China')"
20.0,110.30999755859375,"(None, 'China')"
20.0,110.3499984741211,"(None, 'China')"
20.010000228881836,110.31999969482422,"(None, 'China')"
20.010000228881836,110.3499984741211,"(None, 'China')"
20.010000228881836,110.36000061035156,"(None, 'China')"
20.020000457763672,110.37000274658203,"(None, 'China')"
20.030000686645508,110.33000183105469,"(None, 'China')"
20.030000686645508,110.33999633789062,"(None, 'China')"
20.030000686645508,110.3499984741211,"(None, 'China')"
20.049999237060547,110.33000183105469,"(None, 'China')"
20.049999237060547,110.3499984741211,"(None, 'China')"
20.059999465942383,110.31999969482422,"(None, 'China')"
20.06999969482422,110.31999969482422,"(None, 'China')"
20.06999969482422,110.33999633789062,"(None, 'China')"
20.489999771118164,110.33999633789062,"(None, 'China')"
20.899999618530273,110.08999633789062,"(None, 'China')"
21.040000915527344,109.87999725341797,"(None, 'China')"
21.190000534057617,110.38999938964844,"(None, 'China')"
21.200000762939453,110.37999725341797,"(None, 'China')"
21.200000762939453,110.38999938964844,"(None, 'China')"
21.200000762939453,110.4000015258789,"(None, 'China')"
21.219999313354492,110.30999755859375,"(None, 'China')"
21.229999542236328,110.41000366210938,"(None, 'China')"
21.25,110.5999984741211,"(None, 'China')"
21.270000457763672,110.33000183105469,"(None, 'China')"
